id	name	name_src	type	aat_type	close_match
15665	Tamipicas	alcedo	people	cultural group	
15666	Tamisqui	alcedo	pueblo	town	
15667	Tamitas	alcedo	pueblo	town	
15668	Tamoin	alcedo	pueblo	town	
15669	Tamoyes	alcedo	people	cultural group	
15670	Tampagan	alcedo	pueblo	town	
15671	Tampamolon	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1003821
15672	Tampasquin	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1003841
15673	Tampaya	alcedo	montaña	mountain	
15674	Tampiaguiti	alcedo	pueblo	town	
15675	Tampico	alcedo	alcaldía mayor	inhabited place	
15676	Tampico	alcedo	rio	river	
15677	Tampoan	alcedo	pueblos y tierras indígenas	town	
15678	Tana	alcedo	pueblo	town	
15679	Tanabo	alcedo			
15680	Tanaco	alcedo	pueblo	town	
15681	Tanaco	alcedo	pueblo	town	
15682	Tanacociia	alcedo	pueblo	town	
15683	Tanapatepec	alcedo	pueblo	town	
15684	Tanassee	alcedo	pueblos y tierras indígenas	town	
15685	Tanassee	alcedo			
15686	Tancanhuichi	alcedo	pueblo	town	
15687	Tancara	alcedo	pueblo	town	
15688	Tanchanaco	alcedo	pueblo	town	
15689	Tanche	alcedo	pueblo	town	
15690	Tancona	alcedo			
15691	Tancur	alcedo	pueblo	town	
15692	Tandil	alcedo	montaña	mountain	
15693	Tandil	alcedo			
15694	Taneplantar	alcedo	provincia	province	
15695	Tanga	alcedo	pueblo	town	
15696	Tanganziquaro	alcedo	pueblo	town	
15697	Tango	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=7000300
15698	Tango	alcedo	rio	river	
15699	Tangor	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=6001199
15700	Tanglotango	alcedo	pueblo	town	
15701	Tangua	alcedo	pueblo	town	
15702	Tangl	alcedo	pueblo	town	
15703	Tanglier	alcedo	puerto	port	
15704	Tanicuchi	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=5600134
15705	Tanjuco	alcedo			
15706	Tanlagua	alcedo	montaña	mountain	
15707	Tanos	alcedo	pueblo	town	
15708	Tanpisco	alcedo	rio	river	
15709	Tanquayalab	alcedo	pueblo	town	
15710	Tanqui	alcedo	pueblo	town	
15711	Tanquian	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1005006
15712	Tanquyuche	alcedo	pueblo	town	
